"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"2232_194.17_2.8",2232,194.172520148075,2.7710736,NA
"2233_370.31_2.8",2233,370.310772717412,2.7710736,"C25H36O"
"2234_387.34_2.8",2234,387.336775320665,2.7710736,"C25H44N2O2"
"2235_357.12_2.8",2235,357.115790894043,2.7712576,"C12H16N6O7"
"2236_163.04_2.8",2236,163.039295499626,2.7713618,"C9H8O4"
"2237_317.14_2.8",2237,317.138703846005,2.7714703,"C18H20O5"
"2238_510.23_2.8",2238,510.233523529424,2.7714703,"C25H32O10"
"2239_263.13_2.8",2239,263.128072099916,2.77365,"C15H18O4"
"224_303.15_0.6",224,303.154946315436,0.60408807,"C13H19NO6"
"2240_303.12_2.8",2240,303.120594926732,2.77365,"C15H20O5"
"2241_621.22_2.8",2241,621.216241327073,2.7744,"C28H38O14"
"2242_417.38_2.8",2242,417.384189393712,2.7750394,"C27H48N2O"
"2243_434.2_2.8",2243,434.202580918703,2.7756598,"C19H28O10"
"2244_1618.25_2.8",2244,1618.24903595206,2.7755463,NA
"2245_616.26_2.8",2245,616.260678783225,2.7757373,"C28H38O14"
"2246_299.13_2.8",2246,299.128207229763,2.7760696,"C18H20O5"
"2247_128.61_2.8",2247,128.606950460695,2.7761693,NA
"2248_565.15_2.8",2248,565.15491532844,2.7767496,"C26H28O14"
"2249_209.2_2.8",2249,209.195897364288,2.7770112,NA
"225_259.08_0.6",225,259.07923008546,0.6058091,"C10H12N4O3"
"2250_161.06_2.8",2250,161.059968737972,2.7784755,"C10H10O3"
"2251_311.13_2.8",2251,311.12808298747,2.780571,"C19H20O5"
"2252_163.08_2.8",2252,163.075587867498,2.7813635,"C10H12O3"
"2253_212.12_2.8",2253,212.118997793122,2.7817092,"C13H13N3"
"2254_275.09_2.8",2254,275.09141431822,2.782524,"C15H14O5"
"2255_123.08_2.8",2255,123.08071695454,2.783446,"C8H12O2"
"2256_123.12_2.8",2256,123.1170682578,2.783446,"C9H16O"
"2257_331.18_2.8",2257,331.175152228933,2.783446,"C16H28O8"
"2258_369.13_2.8",2258,369.131259272172,2.783446,"C21H22O7"
"2259_683.33_2.8",2259,683.325236006018,2.783446,NA
"226_222.06_0.6",226,222.061091217098,0.6077159,"C7H8O7"
"2260_783.07_2.8",2260,783.067740656333,2.783446,"C34H22O22"
"2261_137.06_2.8",2261,137.059966582327,2.7837255,"C8H10O3"
"2262_1128.14_2.8",2262,1128.13757669972,2.784317,NA
"2263_353.16_2.8",2263,353.157238728718,2.7849724,"C14H22N6O6"
"2264_479.12_2.8",2264,479.119315888637,2.7851138,"C22H22O12"
"2265_371.17_2.8",2265,371.1678645219,2.7857668,"C14H24N6O7"
"2266_319.05_2.8",2266,319.045040297383,2.785857,"C15H12O9"
"2267_451.09_2.8",2267,451.087257554713,2.785857,"C20H20O13"
"2268_801.11_2.8",2268,801.114727555886,2.7865667,"C35H28O22"
"2269_818.14_2.8",2269,818.141516756246,2.7865667,"C35H28O22"
"227_308.09_0.6",227,308.091191938494,0.6090158,"C10H17N3O6S"
"2270_341.14_2.8",2270,341.13862978553,2.7884772,"C20H22O6"
"2271_556.24_2.8",2271,556.23930828385,2.7884772,"C23H29N11O6"
"2272_741.22_2.8",2272,741.224104647259,2.7897246,"C33H40O19"
"2273_287.06_2.8",2273,287.055384228151,2.7909744,"C15H12O7"
"2274_561.19_2.8",2274,561.194405060091,2.7919755,"C26H34O12"
"2275_553.12_2.8",2275,553.119148430906,2.7919765,"C24H24O15"
"2276_617.11_2.8",2276,617.113622676694,2.7923002,"C28H24O16"
"2277_368.3_2.8",2277,368.295168090442,2.792607,"C25H34O"
"2278_151.11_2.8",2278,151.111946882453,2.7940133,"C10H16O2"
"2279_197.08_2.8",2279,197.081031038183,2.7944183,"C10H14O5"
"228_261.06_0.6",228,261.058374314535,0.6102989,"C8H9BO6S"
"2280_340.3_2.8",2280,340.300414432925,2.7954943,"C24H39NO"
"2281_186.18_2.8",2281,186.175051427724,2.7971647,NA
"2282_429.14_2.8",2282,429.137158823946,2.7982216,"C17H26O11"
"2283_268.11_2.8",2283,268.109667048409,2.7994757,"C13H20NO4P"
"2284_276.62_2.8",2284,276.623043380572,2.7994757,NA
"2285_285.14_2.8",2285,285.136158113196,2.7994757,"C17H15O3"
"2286_569.26_2.8",2286,569.264274050781,2.7994757,"C34H33NO6"
"2287_371.34_2.8",2287,371.342322053585,2.799797,"C25H44N2O"
"2288_184.65_2.8",2288,184.65143767701,2.800505,NA
"2289_611.16_2.8",2289,611.161136289581,2.8005996,"C27H30O16"
"229_158.96_0.6",229,158.961701520327,0.6123502,NA
"2290_587.14_2.8",2290,587.136802390057,2.801134,"C26H28O14"
"2291_487.22_2.8",2291,487.215622927941,2.802959,"C25H25F2N3O4"
"2292_317.07_2.8",2292,317.066034393109,2.8032575,"C16H14O8"
"2293_193.09_2.8",2293,193.086361016474,2.8033996,"C11H14O4"
"2294_199.99_2.8",2294,199.988308982004,2.8040333,"C5H4Cl2O3"
"2295_558.22_2.8",2295,558.218560728156,2.8042772,"C25H32O13"
"2296_347.08_2.8",2296,347.076233256755,2.8070855,"C17H16O9"
"2297_509.13_2.8",2297,509.129101414385,2.8070855,"C23H24O13"
"2298_671.18_2.8",2298,671.181866405198,2.8070855,"C29H34O18"
"2299_209.15_2.8",2299,209.153780434823,2.807411,"C13H20O2"
"23_221.04_0.4",23,221.042360614377,0.422477,"C5H6N3O4P"
"230_1170.42_0.6",230,1170.41700519955,0.61375004,"C42H72O36"
"2300_1448.23_2.8",2300,1448.22705335261,2.8075857,NA
"2301_607.24_2.8",2301,607.237011723819,2.8080585,"C28H40O13"
"2302_348.2_2.8",2302,348.202018944311,2.8090317,"C16H26O7"
"2303_865.2_2.8",2303,865.196712294234,2.8097377,"C45H38O19"
"2304_625.18_2.8",2304,625.176871790938,2.8104093,"C28H32O16"
"2305_771.23_2.8",2305,771.234640368121,2.8124695,"C34H42O20"
"2306_147.04_2.8",2306,147.044373395558,2.8128874,"C9H8O3"
"2307_153.02_2.8",2307,153.018491602921,2.813092,"C7H6O5"
"2308_499.22_2.8",2308,499.215466015596,2.8136828,"C22H36O11"
"2309_983.26_2.8",2309,983.261609352479,2.815395,NA
"231_247.17_0.6",231,247.165433138164,0.61481035,"C11H19NO4"
"2310_613.08_2.8",2310,613.081964877004,2.8155751,"C26H22O16"
"2311_542.26_2.8",2311,542.260160210886,2.8156419,"C26H39NO11"
"2312_409.18_2.8",2312,409.183548822342,2.818137,"C20H26N4O4"
"2313_327.16_2.8",2313,327.159991358316,2.8183882,"C20H24O5"
